gene,Patient_AKI7,Patient_AKI1,Patient_AKI2,Patient_AKI3,Patient_AKI4,Patient_AKI5,Patient_AKI11,Patient_AKI12,Patient_AKI6,Patient_AKI9,Patient_AKI10,Patient_AKI8,Patient_AKI13,Patient_AKI14,Patient_AKI15,Patient_AKI16,Patient_AKI17,Patient_AKI18,Patient_AKI19,Patient_AKI20,Patient_AKI21,Patient_AKI22,Patient_AKI23,Patient_AKI24,Patient_AKI25,Patient_AKI26,Patient_AKI27,Patient_AKI28,Patient_AKI29,Patient_AKI30,Patient_AKI31,Patient_AKI32,Patient_AKI33,Patient_AKI34,Patient_AKI35,Patient_AKI36,Patient_AKI37,Patient_AKI38,Patient_AKI39
KCCAT211,5.520833333,41,0,3.1875,24.89583333,0,0,3.458333333,13.54166667,5.604166667,2.25,1.854166667,0,0,0,0,0,8.625,6.625,11.08333333,108.4791667,174.25,0,0,10.875,0,0,0,159.6041667,0,190.5,191.0833333,0,0,0,112.2708333,0,0,1.520833333
PYGL,1722.875,109.3333333,169.4375,114.8958333,187.8541667,320.4375,58.54166667,113.5625,132.2083333,211.3541667,166.2916667,69.125,188.5625,0,174.7916667,117.7083333,183.25,310.3958333,178.25,187.8541667,1071.270833,199,198.7083333,80.41666667,77.75,12.95833333,206.375,0,114.8958333,48.85416667,89.33333333,256,23.5625,0,46.97916667,74.875,146.1875,77.89583333,504.0416667
VTN,18.375,64.39583333,0,4.854166667,0,0,0,2.375,7.291666667,7.75,2.25,3.625,0,0,0,0,0,177.1875,55.20833333,129,2.354166667,0,0,3.708333333,16.89583333,496.9791667,3.0625,64.89583333,57.64583333,9.333333333,458.0833333,47.5625,0,0,37.04166667,57.04166667,11.89583333,0,1.520833333
FBXO7,185.75,207.6041667,389.125,351.6458333,345.8541667,401.25,219.5416667,275.5416667,210.4375,246.2916667,305.6041667,257.4375,200.0833333,594.7291667,1502.041667,204.75,0,214.6666667,498.75,43.70833333,318.1041667,137.2708333,198.7083333,112.875,16.89583333,27.20833333,180.4166667,29.0625,23.9375,115.75,22.375,614.1875,205.0416667,87.20833333,122.125,0,347.6041667,63.02083333,104.6666667
C1orf141,0,0,0,1.4375,0,0,0,3.458333333,9.104166667,3.875,10.375,2.5,0,0,0,0,0,66.54166667,0,94.1875,67.6875,34.0625,0,0,0,3.125,14.85416667,46.22916667,0,39.95833333,35.0625,6.020833333,0,0,37.04166667,0,0,77.89583333,4.645833333
CITED1,0.8125,8.854166667,0,3.1875,0,0,0,9.166666667,2.6875,0,4.6875,1.854166667,0,0,0,129.9166667,0,49.35416667,55.20833333,0,8.895833333,0,0,5.458333333,43.52083333,301.7916667,218.125,29.0625,0,0,0,0,0,0,20.79166667,92.8125,0,0,8.416666667
DNMT3A,1009.0625,746.1875,530,646.7083333,828.875,337.0625,822.8541667,739.125,796.5625,636.6666667,633.25,893.2291667,798.8125,2052.229167,194.9375,650.7708333,0,488.1458333,424.5625,273.3958333,733.5,493.1041667,58.91666667,1457.645833,793.9375,626.2708333,1370.458333,609.0833333,106.3958333,1349.583333,1183.3125,519.4375,1542.166667,450.5,1109.583333,1355.770833,1144.145833,1105.1875,1180.520833
LYPD6,9,6.854166667,17.64583333,11.52083333,0,24.58333333,10.77083333,18.6875,35.45833333,13.22916667,12.9375,3.041666667,0,0,393.4166667,0,0,85.02083333,25.14583333,5.145833333,82.3125,4.8125,338.7708333,42.95833333,0,8.458333333,6.1875,0,57.64583333,6.125,12.02083333,1848.729167,0,0,4.604166667,365.1041667,14.27083333,4.541666667,104.6666667
ALMS1-IT1,0,6.854166667,30.0625,3.833333333,42.60416667,0,18.5625,38.375,13.54166667,29.39583333,31.25,19.66666667,27.39583333,88.85416667,0,0,0,8.625,0,5.145833333,17.875,4.8125,0,66.02083333,10.875,5.375,145.1458333,29.0625,0,9.333333333,161.9583333,47.5625,0,140.2916667,2.75,12.52083333,11.89583333,23.52083333,4.645833333
KPNA7,6,0,0,1.104166667,0,13.375,0,2.375,0,0,2.25,5.25,0,0,0,0,0,0,3.8125,129,0.854166667,11.70833333,0,3.708333333,66.14583333,72.70833333,155.9583333,0,23.9375,18.16666667,12.02083333,12.64583333,0,0,10.35416667,0,0,4.541666667,406
SULT1C2P1,88.79166667,0,16.47916667,2.3125,69.60416667,0,0,47.72916667,33,9.0625,17.45833333,1.145833333,0,173.0208333,0,0,0,19.0625,3.8125,5.145833333,8.895833333,34.0625,0,9.354166667,16.89583333,5.375,1.770833333,14.39583333,0,0,0,0,0,0,37.04166667,25.66666667,18.97916667,4.541666667,104.6666667
