"","patient_aki7","patient_aki1","patient_aki2","patient_aki3","patient_aki4","patient_aki5","patient_aki11","patient_aki12","patient_aki6","patient_aki9","patient_aki10","patient_aki8","patient_aki13","patient_aki14","patient_aki15","patient_aki16","patient_aki17","patient_aki18","patient_aki19","patient_aki20","patient_aki21","patient_aki22","patient_aki23","patient_aki24","patient_aki25","patient_aki26","patient_aki27","patient_aki28","patient_aki29","patient_aki30","patient_aki31","patient_aki32","patient_aki33","patient_aki34","patient_aki35","patient_aki36","patient_aki37","patient_aki38","patient_aki39"
"HELZ",10.2150273405644,10.5633750485289,10.2904269002221,10.3485898524488,10.3784303393172,10.493417671953,10.496853777388,10.1887176156368,10.1359230033,10.217528620651,10.7577025177705,10.403012023575,9.38936245564388,8.02283014101315,9.69370473922529,9.06300176977642,9.09088429773063,9.47763179745052,9.28043247809396,8.84365938547463,10.1407499028049,9.45738087907253,8.7490313820402,9.93313736825671,8.58613609148049,8.3445733225962,9.38936245564388,9.25286250839671,5.07948478382681,9.02265678558876,9.63734186275033,6.99976516761853,8.00644296673506,7.52926785973014,9.5026660818836,8.88969407938209,10.2994703898412,8.30748544858948,9.10361565639455
"TRIP11",10.0052444121267,10.4331507238798,9.7515440590891,10.5386537474516,10.5505063161701,10.7781113619164,10.480558819285,10.6835246740789,10.7461293834406,10.520250348558,10.7601481610649,10.7032006505992,8.94404094066437,8.33752898988605,8.54254826233521,7.59743185293169,7.70879650871684,9.39513243838582,9.88471111045022,8.33175671225547,9.03239016886652,8.80976812871041,8.50266608168472,10.1289609508557,10.4165776418041,9.10120970586311,10.1878932916364,6.7279204545632,9.42342234952797,8.2701979754998,7.79238361493519,8.60655943753036,8.61493984731074,8.03754695396218,9.24277714800642,8.74721394522963,9.78040306453314,8.30748544858948,9.2955298043703
"DYNC1H1",12.888445985812,12.5109959050627,12.5109959050627,12.888445985812,12.4876097802592,12.4105838486378,11.9501229871399,12.5870840468371,12.7524808302996,12.5657119999173,12.3282424839582,12.7051733731862,11.6900070681419,12.1454479299217,10.4678177950531,11.7544351977197,9.74623437637588,12.0436325528148,12.0817469428823,11.8937518287077,12.5787068283432,11.4198614499004,10.2603070131185,12.2750089882042,11.8637023272713,11.9977307970612,11.7231187300337,11.8637023272713,11.7179084294385,11.6562106925319,11.2748270446252,11.8750213580719,11.272265274744,10.9389822528824,11.2748270446252,11.5432332550575,12.7524808302996,11.2362260150614,11.3234183913521
"ZNF518A",8.94550480080703,9.5788443915582,9.6851137764159,9.46951463470839,9.41521359876529,9.43757870280302,8.41018632072509,9.3888245380236,9.24570124628576,9.22204015786482,9.93780291099178,9.04615770103514,8.4017683973123,8.2363132270428,5.91089252624594,0,0,7.32211593327481,6.18900086764649,2.6196086434498,8.43783874916779,7.97441458980553,6.71596199025514,8.64295422348033,7.12584393332251,5.92233662332231,7.99823782188805,8.28347425498267,8.5486613859334,6.86727873970966,7.88315238545324,3.77038859535124,7.8578514371613,6.46284305323191,8.20406162790888,7.72138405319521,8.5167670114087,2.47031993486681,8.21725091526417
"KIAA1109",11.1283971621375,11.3037807481771,11.5628585233303,12.1312139050863,11.9977307970612,11.634158741051,11.3263709652133,11.4367332276792,11.4367332276792,11.4335854411505,11.7983452255884,11.6031047108738,10.7021185616372,11.2772874001304,11.018055253026,10.248075809177,7.98998574427023,10.1113802293607,11.239983812813,8.65560525588279,10.0148050885999,9.93221475196838,8.31241029679222,11.6700937393276,10.0148050885999,10.0718533751164,10.3040185141734,9.45142578269092,11.2974297934438,9.06670588262943,9.56498303920509,9.11184206121034,9.57699601748995,7.52926785973014,10.5695194145736,9.44919164344511,11.2021493383647,8.73011628383016,9.32993645331243
"WDR11",8.62981194438223,8.99039947101785,9.07040050953971,9.58398377868552,9.72838114734228,9.47645088532461,7.91401132854125,9.20686174283712,8.58965114651479,8.88232462273716,9.3888245380236,8.90908052679938,7.98844800459706,6.05618609676235,7.76832219020134,8.27951385665618,7.70879650871684,7.15059352285192,7.01912736037727,7.561128804165,5.92876509531022,7.24218168994548,6.71596199025514,8.61624250670092,6.29920801838728,3.80305478427945,7.69609817095586,6.04211533972326,5.07948478382681,6.54657296800663,5.62692579392216,9.02358110862303,7.49235394515987,0,6.94397991434374,5.85901704196295,8.22951983002289,7.58245564536148,7.02951730315608
"RANGAP1",9.72206038024202,10.322045497309,8.93547202568896,9.15302417146659,9.02288792180326,9.59677212205103,8.42591522242571,10.1531033623222,10.0266098909748,9.8419246489609,9.21992476886281,10.1502761804204,11.0975658084833,10.3910421566613,12.203124922626,11.3728537268608,12.1312139050863,11.806616747631,11.1449502780897,13.5420947795387,12.4876097802592,12.0907740546408,13.242693426629,11.0123917524833,12.551948530593,13.2968714086678,13.1881734856935,12.3975743680409,13.1402273241376,12.9490819528031,13.0993409607089,11.5085272793105,12.8347631872847,12.6631272103993,12.3647103503147,13.1191944464936,11.0695616521792,12.8524482302874,12.9891246642052
"DST",12.8524482302874,12.5657119999173,13.3588486239914,12.928861458824,12.5787068283432,14.2216830885575,12.9079351381061,13.4477209171642,13.4477209171642,13.4206017448753,13.3834314896043,13.242693426629,11.1238923711853,12.5657119999173,11.8111237856603,12.8112492450397,10.732626764815,11.5551283225844,12.6425970393888,11.5761300068612,11.6471960673059,11.6184906568533,10.8261843252846,11.57065622426,12.0175044011094,11.6061256382294,11.5475874331786,11.4950117930127,12.928861458824,11.0212836504758,11.8637023272713,11.6375211178266,10.8345698072174,9.23386929101409,11.3197897065251,11.1253731080386,13.1402273241376,11.0166632220026,11.3795024676249
"HUWE1",12.0907740546408,12.1312139050863,12.4388459871869,12.5000897613894,12.4388459871869,12.5259897230409,11.8284588325911,12.5259897230409,12.6425970393888,12.2276472777725,12.1780488147514,12.3783343731291,11.7334920443003,11.5523689050329,11.5215595465912,11.5328429109613,11.5432332550575,11.4610850398519,12.05069894443,11.2331328048645,12.1701663174019,11.0898642282984,10.6992470945095,12.0644480665487,12.1151723789329,11.57065622426,11.9657993127774,11.642089309492,8.29107474689374,11.0648971066782,11.3795024676249,11.7634198741921,11.4387268882626,10.7807960506767,11.4950117930127,11.5475874331786,12.3975743680409,11.3950654779977,10.9493555822405
"SYNE2",12.928861458824,14.0493912549406,14.6788809141227,14.6788809141227,15.1764540050314,13.7728858544396,11.57065622426,14.3576379094919,14.4204825007969,13.9401701923725,15.1764540050314,14.2216830885575,13.242693426629,13.060639645727,13.7186599624865,10.1725316852185,11.2218010731443,12.7938488174066,13.1731793674931,11.3317567122555,12.0817469428823,11.2438557891659,11.806616747631,14.1526264990342,13.1402273241376,11.9598359499435,12.0355222491363,12.691384581672,8.83242855225957,11.8349565414347,11.7983452255884,11.5475874331786,11.1715938220114,11.0648971066782,12.5870840468371,11.8692805570308,13.7728858544396,11.8111237856603,11.7765444105359
